LATITUDE,LONGITUDE,PARCELNO,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
25.893526909,-80.1668569854,622290410220,178000.0,8438,1509,1248,652.2,14808.8,366.5,43244.6,39200.2,13927.0,56,0,7,2
25.8935304948,-80.1666650338,622290410210,250000.0,8438,1331,9562,705.0,14750.0,353.2,43261.2,39184.8,13995.2,66,0,7,2
25.8941562568,-80.1590586955,622280080970,913500.0,8475,1742,9836,2432.6,12230.7,11960.0,44047.7,38727.5,16494.0,46,0,9,5
25.8943570265,-80.1680434581,622290410080,159000.0,8375,1158,2677,164.0,15183.5,537.6,43467.9,39609.3,13555.8,65,0,11,2
25.8943648992,-80.16785559,622290410070,199000.0,8375,1064,6730,209.4,15119.1,473.2,43481.3,39591.8,13615.1,48,0,6,2
25.8944409224,-80.1611290865,622280080090,590000.0,9375,2574,37975,1847.6,12871.0,42.0,44007.1,38994.4,15786.3,62,0,10,4
25.8946643832,-80.1610606319,622280120010,450000.0,10625,1529,3607,1805.9,12840.6,43.0,44081.8,39058.8,15809.4,61,0,2,4
25.8954044487,-80.1544097829,622280120740,1870000.0,10875,4552,35124,3253.8,10645.2,11960.0,44898.4,38841.8,18007.8,8,0,3,5
25.8956119141,-80.1544185384,622280120730,1067300.0,10875,3137,15972,3200.4,10644.5,11960.0,44968.8,38915.2,18007.1,31,0,5,5
25.8959663919,-80.1563252577,622280120640,1056000.0,8550,2266,34952,2658.6,11300.6,11960.0,44914.6,39159.6,17421.5,42,0,12,5
25.8965906437,-80.1480698498,622280170630,900000.0,18745,3992,22191,4621.6,8524.0,80.8,45894.1,38871.9,20105.8,59,0,9,5
25.8968084764,-80.1564577689,622280180370,1015000.0,12315,1920,34340,2395.1,11328.9,11960.0,45179.1,39419.0,17352.7,21,0,5,5
25.8969740713,-80.151359975,622280200610,1235000.0,9375,2931,30962,3662.5,9665.0,0.2,45722.7,39195.8,19069.7,58,0,8,5
25.8970739756,-80.1470642984,622280210930,1587500.0,12500,4428,41032,4815.7,8226.9,11960.0,46198.8,39022.9,20455.9,16,0,6,5
25.8972207514,-80.1489638897,622280210440,1265000.0,9375,3313,23278,4257.8,8852.7,11960.0,46059.9,39174.0,19836.3,55,0,1,5
25.8975851356,-80.1513917581,622280200460,2450000.0,9375,4028,62453,3523.5,9672.6,4.8,45930.7,39415.6,19068.5,2,0,1,5
25.8975933919,-80.1511638343,622280200450,980000.0,9375,3083,39782,3584.5,9599.0,5.6,45956.4,39406.1,19144.5,57,0,6,5
25.8980587271,-80.1535868064,622280140120,1130000.0,9375,2650,4946,2835.0,10372.8,11960.0,45902.9,39736.8,18330.5,60,0,8,5
25.8980679312,-80.1511942939,622280200360,1340000.0,9375,2566,38299,3479.1,9610.7,11960.0,46114.7,39573.8,19140.8,58,0,2,5
25.8985041069,-80.1453945003,622280210940,1200000.0,15244,3315,26097,5067.3,7668.4,11960.0,46848.5,39436.1,21037.4,37,0,8,5
25.8986569234,-80.1490239338,622280210370,1550000.0,9375,2358,25757,3974.4,8856.3,11960.0,46547.7,39690.8,19835.7,42,0,1,5
25.8989153848,-80.145918368,622280211060,1020000.0,9750,2494,48603,4844.5,7829.6,5.1,46955.5,39637.0,20858.2,16,0,1,5
25.8989791034,-80.1573563733,622280180050,975000.0,9375,2541,22771,1673.0,11600.7,3.6,45878.9,40296.2,17128.6,52,0,12,5
25.8991147778,-80.1532505715,622280200010,950000.0,9375,2387,24193,2704.7,10250.9,11960.0,46285.1,40070.0,18479.8,26,0,10,5
25.8994777195,-80.148292138,622280210580,1675000.0,13176,4480,31386,4048.2,8595.8,11960.0,46908.8,39925.7,20065.3,24,0,5,5
25.9010582278,-80.150690969,722210034880,120000.0,1889,862,9562,3144.4,9396.0,501.4,47253.4,40661.5,19372.4,21,0,10,1
25.901797204,-80.157754953,722210030800,73000.0,2654,916,1342,967.4,11708.3,803.5,46884.0,41370.9,17059.2,66,0,9,1
25.9018385592,-80.1550050836,722210031500,86500.0,2999,861,2207,1741.0,10796.2,835.7,47121.7,41200.0,17946.2,62,0,2,2
25.90226147,-80.1546475117,722210032340,99300.0,3000,884,9562,1773.5,10668.4,986.1,47305.5,41324.7,18082.7,58,0,1,2
25.9261212689,-80.1282938893,3122140030580,1604000.0,9140,1484,6970,8143.2,2416.9,7.2,58214.8,49161.3,17891.1,46,0,3,5
25.9286204707,-80.1414704516,722150012000,1225000.0,9350,3096,25519,3720.8,6775.6,36.7,57701.4,50234.3,14328.4,16,0,10,5
25.9294058818,-80.1394298492,722150011530,1830000.0,8800,4729,31661,4288.9,6130.0,10.4,58142.5,50464.3,14538.6,16,0,7,5
25.9295632763,-80.142110763,722150011950,1900000.0,9200,4289,21507,3423.6,7013.6,34.8,57952.4,50589.1,13916.1,36,0,1,4
25.9302875937,-80.138128165,722150011240,1100000.0,8800,2520,20962,4616.9,5744.8,11960.0,58584.9,50767.2,14581.5,31,0,11,4
25.9333969996,-80.1388211567,722100010740,1375000.0,9200,2991,28567,4097.8,6088.9,10.5,59591.3,51907.6,13585.3,35,0,5,4
25.9334230059,-80.1380844211,722100010710,1425000.0,9200,2676,26650,4329.7,5849.0,11.8,59673.3,51905.1,13751.1,42,0,12,4
25.9344503278,-80.138452801,722100011000,1270000.0,8800,3082,21648,4113.1,5981.9,15.6,59994.3,52284.2,13403.6,45,0,1,4
25.9348715318,-80.1390075282,722100011160,1250000.0,9350,2990,46641,3891.9,6166.9,11.0,60086.7,52448.0,13164.2,27,0,11,4
25.9354297416,-80.1397173463,722100011310,1300000.0,8800,3054,26327,3614.9,6406.3,10.2,60213.5,52663.2,12857.6,29,0,10,4
25.9374973065,-80.139083998,722100011740,1200000.0,8800,2932,34031,3609.3,6251.8,11.2,60991.5,53400.4,12493.5,30,0,12,4
25.9477512441,-80.1229052716,3122020060690,2100000.0,11876,3537,27568,7889.0,1223.1,25.2,63232.2,57093.0,15124.4,28,0,7,4
25.9486101547,-80.123784232,3122020060590,900000.0,13570,2111,2801,7501.9,1510.1,218.2,62911.1,57407.5,14649.4,47,0,7,2
25.9488947784,-80.1229069885,3122020060470,715000.0,7500,4098,9562,7890.7,1284.8,386.9,62834.1,57524.4,14978.8,61,0,2,4
25.9510053572,-80.1214113119,3122020510020,1600000.0,4402,3089,36292,8363.1,813.1,668.6,62149.3,58342.5,15202.9,1,0,2,5
25.9513415656,-80.1213901256,3122020510050,1550000.0,4402,3089,35539,8374.0,809.4,668.0,62028.6,58464.9,15174.2,1,0,6,5
25.9514535589,-80.1213818659,3122020510060,1650000.0,4402,3089,35539,8377.7,808.5,667.3,61988.4,58505.6,15164.8,1,0,5,5
25.956549643,-80.122559504,3122020330580,1200000.0,7290,3912,37296,8063.4,1224.7,328.8,60076.1,60076.1,14353.5,19,0,10,5
25.9566388427,-80.1239600693,3122020330710,1385000.0,5904,3678,1292,7574.6,1661.2,151.8,60022.8,60022.8,13879.2,10,0,11,5
25.956810508,-80.1230802948,3122020330780,1200000.0,5564,2978,31117,7847.3,1377.8,257.0,59988.7,59988.7,14132.4,9,0,12,5
25.9569408865,-80.1211070009,3122020330930,1100000.0,5500,2626,36208,8556.3,762.2,398.1,59983.9,59983.9,14802.7,10,0,7,5
25.9595193828,-80.1215048651,1912350040230,2600000.0,13125,3482,42460,8385.9,865.5,18.8,59042.4,59042.4,14469.2,30,0,5,4
25.9603194522,-80.1296975372,2822020320520,1650000.0,8144,2674,39943,5757.2,3583.8,336.1,58493.8,58493.8,11819.8,22,0,10,5
25.960574499,-80.1294208202,2822020320530,1250000.0,6286,3015,34153,5823.5,3483.3,305.3,58415.6,58415.6,11865.8,18,0,12,5
25.9616156315,-80.1290411497,2822020320360,1365000.0,5000,3611,32658,5975.4,3365.7,545.1,58080.0,58080.0,11958.8,18,0,11,5
25.966154153,-80.1220130305,1912350050760,2600000.0,15963,2707,185,8298.3,1094.9,11960.0,56623.0,56623.0,14121.3,77,0,5,4
25.9678166313,-80.1384572549,2812340751260,1189900.0,4692,3236,9562,2951.4,6580.7,1633.4,55656.6,55656.6,8745.6,17,0,1,5
25.9679820173,-80.1386415792,2812340751240,1100000.0,3912,3143,9562,2907.1,6630.6,1682.5,55623.9,55623.9,8697.5,17,0,1,5
25.9681911665,-80.1260508411,2812350640200,1060000.0,7005,2868,23100,7036.8,2517.4,121.3,55735.3,55735.3,12826.9,24,0,12,5
25.968266027,-80.1259119136,2812350640210,925000.0,7000,2802,9562,7076.8,2470.7,134.8,55711.0,55711.0,12866.4,25,0,6,5
25.9687092531,-80.1279746853,2812350560130,860000.0,4002,2553,9562,6411.9,3163.5,322.8,55534.4,55534.4,12200.0,25,0,10,5
25.968746686,-80.1262723241,2812350640160,900000.0,5703,2802,19250,6964.9,2592.0,213.5,55547.1,55547.1,12752.8,23,0,11,5
25.9688195691,-80.1375010799,2812340751580,747000.0,3063,2486,9562,3292.2,6293.8,1421.5,55307.9,55307.9,9079.9,16,0,9,5
25.9689460763,-80.1262628707,2812350560490,875000.0,4071,3041,9562,6983.6,2603.2,129.8,55477.8,55477.8,12771.4,23,0,11,5
25.968949375,-80.1279847438,2812350560110,800000.0,4002,2868,9562,6412.2,3162.1,238.8,55450.7,55450.7,12200.0,25,0,12,5
25.9691836022,-80.125976757,2812350560770,940000.0,4002,2802,9562,7076.0,2499.0,11.4,55394.0,55394.0,12863.8,24,0,6,5
25.9709959518,-80.1381229916,2812340780720,750000.0,3335,2365,9562,3103.1,6477.3,1781.3,54513.4,54513.4,8907.1,15,0,9,5
25.9717992103,-80.1362515606,2812340781940,1075000.0,4439,3013,9562,3750.4,5898.8,1140.5,54223.7,54223.7,9567.0,15,0,3,5
25.9718088515,-80.1361301575,2812340781930,897000.0,4512,2633,9562,3790.5,5860.7,1110.0,54222.0,54222.0,9607.5,15,0,2,5
25.9720719756,-80.1373107473,2812340781750,1100000.0,4466,2586,9562,3372.0,6228.7,1356.0,54142.4,54142.4,9195.6,15,0,4,5
25.9724851077,-80.1381998368,2812340781680,842000.0,3036,2365,9562,3116.2,6557.0,1559.1,53972.6,53972.6,8946.2,14,0,6,5
25.9743818667,-80.1197463899,1912350010160,2400000.0,10796,4796,31937,9141.4,435.7,312.8,53750.2,53750.2,14994.2,13,0,4,5
25.8872805164,-80.1766668286,622290280100,355000.0,10200,1245,1112,1261.4,18219.0,4147.9,40475.4,38203.9,10600.3,21,0,2,2
25.8880848848,-80.1754943188,622290310550,285000.0,7540,1069,912,1011.1,17791.8,3772.9,40850.6,38348.8,10973.8,69,0,5,4
25.8881396567,-80.178057756,622290280320,252500.0,10772,1101,1110,1803.7,18650.5,3921.7,40728.5,38669.8,10157.7,26,0,1,2
25.888513353,-80.1780707877,622290280170,225000.0,10674,1889,5215,1862.2,18636.9,3979.1,40865.2,38801.7,10159.3,69,0,5,2
25.8894233843,-80.1735801883,622290150270,108000.0,7260,878,158,624.3,17104.6,2987.5,41420.5,38558.2,11626.0,67,0,6,1
25.891947374,-80.1836685926,622300070070,155000.0,9372,1699,5526,4043.3,20361.1,2966.2,41932.0,40700.3,8381.5,71,0,12,2
25.8922233665,-80.1789822571,622300130010,118000.0,7230,1249,1214,2672.7,18803.6,4198.9,42198.1,40179.9,9908.7,58,0,12,2
25.8925468499,-80.1813693147,622300050680,195000.0,9100,1353,2428,3444.1,19593.8,3736.9,42210.5,40581.9,9146.9,67,0,10,2
25.8928846136,-80.1823566821,622300050620,210000.0,9450,1193,3809,3786.6,19905.1,3506.1,42305.5,40826.7,8821.9,67,0,6,2
25.8929885539,-80.1799318737,622300050390,160000.0,10500,914,9562,3065.7,19106.7,4225.7,42412.5,40533.4,9621.0,81,0,6,1
25.8930362491,-80.1746674346,622290350110,155000.0,8224,1879,2945,1480.7,17374.4,2753.2,42654.4,39906.5,11345.7,66,0,8,4
25.8932987116,-80.174677389,622290350120,289000.0,8090,2431,23707,1522.0,17372.6,2740.7,42750.2,39998.4,11347.3,46,0,4,4
25.8937648873,-80.1767658574,622290360030,180000.0,4950,1167,293,2222.4,18038.9,3394.6,42851.0,40427.6,10661.9,70,0,2,4
25.8938034675,-80.1733939074,622290390031,240000.0,6850,1320,4920,1208.7,16956.4,2312.9,42974.8,40003.1,11794.7,30,0,3,2
25.8939203602,-80.1800035795,622300110220,250000.0,8862,1804,3259,3222.8,19117.8,4369.5,42745.7,40853.0,9619.7,69,0,3,4
25.8951199577,-80.1734168625,622290250210,260000.0,10725,1877,1731,1391.0,16928.1,2283.7,43443.7,40449.0,11795.4,21,0,4,2
25.8951199577,-80.1734168625,622290250210,285000.0,10725,1877,1731,1391.0,16928.1,2283.7,43443.7,40449.0,11795.4,21,0,8,2
25.8951761516,-80.1851394069,622300061310,179000.0,6900,1317,906,4963.8,20791.8,3091.9,43076.7,41974.0,7957.6,26,0,4,2
25.8952027125,-80.1715830055,622290260230,175000.0,9088,1404,990,866.9,16331.4,1687.0,43566.0,40272.8,12404.7,67,0,4,2
25.8954311735,-80.179037496,622290500251,305000.0,9525,1228,26063,3137.5,18772.0,4126.6,43326.6,41234.8,9953.8,21,0,3,2
25.8955446743,-80.1757701797,622290180040,216000.0,16006,1711,9562,2144.3,17677.7,3032.5,43485.8,40861.1,11010.0,70,0,10,2
25.8957279461,-80.1716107595,622290260140,200000.0,8960,1617,70,963.9,16331.4,1686.0,43753.5,40455.9,12402.5,67,0,3,4
25.8960459609,-80.1732342977,622290250060,291500.0,10500,1638,9562,1484.8,16859.9,2213.3,43784.9,40743.4,11870.9,21,0,11,4
25.8960551672,-80.1730001514,622290250070,280000.0,10500,1343,1140,1414.7,16779.2,2132.6,43798.4,40718.6,11944.3,21,0,9,2
25.8964786893,-80.1751765451,622290130230,269000.0,7800,1546,2761,2132.2,17501.4,2860.2,43861.7,41124.3,11245.5,21,0,7,4
25.8965755247,-80.1732584037,622290230660,266500.0,10275,1528,2943,1583.8,16864.0,2226.0,43975.2,40928.2,11870.9,59,0,8,4
25.8968126479,-80.1789209293,622290500411,260000.0,7650,1459,1900,3299.6,18714.7,4081.3,43860.3,41709.8,10005.2,21,0,5,2
25.8968452287,-80.1761042185,622290130130,180000.0,7800,1329,3935,2464.8,17808.0,3175.7,43951.4,41355.3,10948.4,69,0,7,2
25.8970000292,-80.1720956497,622290230390,300000.0,8220,2141,1439,1350.1,16489.0,1873.4,44186.5,40946.4,12267.9,65,0,7,4
25.8980593349,-80.1819714401,622290491710,167500.0,6850,1395,1493,4407.2,19711.1,4153.5,44192.2,42496.7,9042.9,67,0,4,2
25.8982585826,-80.1683641276,622290220750,230000.0,9360,1055,3042,713.3,15198.7,985.8,44847.1,40988.5,13469.1,26,0,12,2
25.8983020474,-80.1758263284,622290510350,130000.0,9111,902,880,2635.5,17684.0,3171.9,44485.0,41813.4,11059.2,67,0,3,1
25.8983096461,-80.1756232175,622290510360,135000.0,9111,2389,9562,2575.4,17612.8,3102.3,44495.3,41790.3,11121.5,67,0,4,2
25.8984741482,-80.1784993095,622290491090,122000.0,6227,927,2206,3433.2,18537.2,4030.7,44479.6,42219.8,10164.0,66,0,2,2
25.89925744,-80.1752729481,622290510170,155000.0,8580,1323,1369,2673.0,17482.5,3104.2,44850.7,42072.4,11256.6,66,0,10,2
25.8995099212,-80.1782129693,622290492282,160000.0,8633,1551,4466,3526.9,18435.6,4039.2,44831.6,42506.2,10287.3,36,0,6,2
25.9008043265,-80.1700110235,622200050270,247500.0,7620,1731,75,1733.1,15738.2,2003.5,45667.3,42042.1,13016.8,26,0,3,2
25.9010165372,-80.1856294488,622190070420,105000.0,7680,1144,4314,5943.4,20863.5,3021.0,45201.1,43977.1,7890.7,61,0,1,1
25.9012806298,-80.169971446,622200050520,185000.0,9108,2206,1565,1832.1,15715.4,2101.4,45836.5,42198.4,13034.6,61,0,10,2
25.9016786372,-80.170371522,622200050470,289000.0,10560,1596,33845,2020.4,15839.2,2289.5,45954.8,42373.0,12904.6,39,0,2,2
25.9017514891,-80.1824870241,622190071130,145000.0,9000,1192,9562,5160.6,19831.3,4062.9,45524.4,43802.1,8937.9,69,0,7,1
25.9019343324,-80.1781129652,622190070870,180000.0,8160,1796,1083,4009.3,18392.6,4370.3,45719.1,43323.5,10380.6,36,0,4,2
25.9021546567,-80.1807316738,622190070990,275000.0,9077,1730,3246,4752.3,19253.3,4651.4,45716.0,43714.7,9529.5,64,0,4,2
25.902195306,-80.1704385656,622200061121,240000.0,10425,1682,20511,2163.7,15865.8,2431.8,46134.6,42556.8,12900.6,61,0,7,2
25.9022042216,-80.179596393,622190070940,276000.0,9000,1517,2184,4454.1,18877.4,4843.0,45765.6,43589.6,9901.5,41,0,8,2
25.9023291054,-80.1670504727,622200060960,215000.0,9730,1154,2445,1378.0,14754.4,1603.9,46370.9,42277.7,14018.2,41,0,12,2
25.9025868631,-80.1700056486,622200061110,300033.0,10425,2219,5168,2153.2,15723.3,2425.5,46298.5,42649.5,13054.2,31,0,8,4
25.9026909427,-80.1807482972,622190080090,245000.0,9728,1424,2852,4866.6,19257.0,4656.6,45914.0,43897.9,9543.7,21,0,7,4
25.9026971799,-80.1670736582,622200060990,225000.0,9730,1399,9562,1464.7,14761.3,1694.0,46504.8,42406.3,14022.0,66,0,9,2
25.9029284577,-80.1838590358,622190071560,218400.0,9525,1461,9562,5764.1,20279.4,3644.1,45917.8,44368.5,8529.1,21,0,4,4
25.9029578161,-80.1630673721,622200160090,230000.0,8775,1969,27216,564.6,13444.3,1067.6,46847.8,42144.4,15341.4,63,0,8,2
25.9031540656,-80.1783270266,622190071900,228500.0,9525,1306,1891,4336.2,18463.2,4656.2,46148.0,43756.5,10347.8,26,0,11,4
25.9035957684,-80.1671272258,622200060660,171000.0,9730,2079,23528,1693.2,14784.6,1945.9,46819.1,42721.3,14034.2,66,0,2,2
25.9038118297,-80.1759612559,622190072350,150000.0,8636,1836,9562,3914.8,17693.5,4188.9,46473.4,43710.9,11145.1,68,0,6,2
25.9039079019,-80.1642971087,622200240420,278000.0,8500,2045,16620,1086.9,13855.6,1535.0,47123.4,42596.4,14963.9,57,0,2,4
25.9039421218,-80.1720914886,622200060440,195000.0,10500,1112,648,2991.0,16418.4,3259.3,46679.2,43328.5,12413.4,66,0,4,2
25.9041478964,-80.1761807456,622190072270,120000.0,8636,1023,9562,4049.4,17770.1,4323.2,46585.1,43849.1,11073.8,69,0,3,1
25.9043114745,-80.1723349461,622200060390,259000.0,10500,1538,1540,3143.0,16506.0,3412.2,46802.7,43483.3,12334.7,21,0,8,2
25.9043284329,-80.1718848033,622200060370,250000.0,10500,1483,9562,3035.9,16357.5,3297.3,46829.5,43441.8,12481.2,31,0,8,2
25.9044537343,-80.1822757188,622190101010,240000.0,9506,1022,25597,5647.6,19775.4,4241.8,46501.4,44673.1,9068.0,36,0,11,2
25.9044950818,-80.1812553054,622190101060,170000.0,9503,1360,3004,5399.3,19444.8,4577.5,46541.8,44566.1,9406.7,41,0,7,2
25.9045386947,-80.1801766386,622190152850,235000.0,10500,1388,3893,5121.0,19081.7,4921.2,46587.9,44442.7,9752.1,21,0,4,4
25.9046977743,-80.1852880352,622190101250,266000.0,10727,1159,23005,6505.5,20766.5,3284.7,46528.7,45141.3,8075.5,31,0,4,2
25.9047186144,-80.1848969648,622190101150,210000.0,9506,1140,3590,6408.6,20646.1,3417.3,46542.2,45098.6,8211.0,69,0,11,2
25.9047284136,-80.184705787,622190101140,336500.0,9506,1764,20337,6353.6,20577.9,3474.0,46548.1,45074.5,8268.4,21,0,7,4
25.9049857345,-80.1687928288,622200040250,235000.0,10016,1665,1036,2437.8,15352.9,2685.1,47229.0,43363.4,13492.3,65,0,3,2
25.9058598674,-80.1688348111,622200040090,132000.0,10031,1811,9562,2662.7,15389.6,2942.4,47542.5,43674.2,13473.7,66,0,11,2
25.9065503178,-80.1749276331,622190150200,262000.0,9315,1217,9562,4319.3,17411.3,4578.8,47495.2,44525.0,11471.4,21,0,11,2
25.9066766635,-80.1808190831,622190150840,229500.0,8100,1046,9562,5801.6,19352.9,4889.8,47348.5,45249.6,9542.0,16,0,8,2
25.9066887152,-80.1708558625,622200200110,120000.0,7946,1223,23935,3362.2,16085.2,3604.8,47735.5,44158.6,12810.8,67,0,11,1
25.9067065237,-80.1800895217,622190150800,289900.0,8100,2785,10388,5628.4,19112.2,5121.7,47378.9,45171.4,9779.3,26,0,12,4
25.9068374355,-80.1673050663,622200390010,210000.0,12649,2138,2280,2529.6,14923.3,2935.6,47967.3,43872.2,13971.4,45,0,1,2
25.9069712987,-80.1736755675,622190150120,245000.0,8040,1744,2907,4124.6,17021.6,4353.2,47704.8,44545.6,11888.3,36,0,8,4
25.907272146,-80.1829822474,622190061560,253500.0,6527,1764,20094,6486.7,20064.8,4270.7,47543.2,45740.4,8811.2,36,0,12,4
25.9073984083,-80.1857489253,622190061771,241000.0,9714,1871,3115,7202.2,20980.5,3434.3,47500.9,46101.7,7911.1,21,0,2,4
25.9074753562,-80.1842232014,622190061650,250000.0,17577,1397,15000,6811.2,20455.9,3888.4,47558.8,45928.4,8384.3,46,0,4,4
25.9076080462,-80.1809155598,622190061410,165000.0,8723,1008,3445,6051.5,19412.2,4958.5,47685.9,45578.3,9505.4,31,0,9,2
25.9077241152,-80.1778998859,622190061160,205000.0,8712,1239,9562,5337.5,18426.1,5606.7,47815.1,45262.8,10494.0,65,0,2,2
25.9078385681,-80.1746434183,3022200023380,240000.0,8712,1580,2550,4568.0,17364.6,4795.4,47977.5,44945.0,11562.6,30,0,4,2
25.9079000828,-80.1866303254,622190060050,179000.0,13900,1030,9562,7532.0,21271.7,3222.8,47668.0,46377.9,7606.9,31,0,4,2
25.9079606398,-80.1843375731,622190060270,145000.0,7867,1167,1719,6978.9,20541.8,3947.3,47737.9,46118.5,8378.2,41,0,2,2
25.9080799152,-80.1679541238,3022200023090,148900.0,9900,1556,9562,2973.7,15183.3,3424.0,48378.1,44362.6,13752.4,61,0,9,1
25.9080799152,-80.1679541238,3022200023090,158000.0,9900,1556,9562,2973.7,15183.3,3424.0,48378.1,44362.6,13752.4,61,0,9,1
25.9080799152,-80.1679541238,3022200023090,177500.0,9900,1556,9562,2973.7,15183.3,3424.0,48378.1,44362.6,13752.4,61,0,9,1
25.9084862225,-80.1809653567,622190060454,215000.0,9052,1648,1967,6272.5,19457.4,5049.4,47999.9,45878.1,9484.7,36,0,4,4
25.9088680135,-80.1844718855,622190140850,210000.0,7740,1700,9562,7225.9,20624.6,4045.2,48060.4,46434.9,8336.5,41,0,6,4
25.9090007924,-80.1806786125,622190140270,267500.0,8385,1445,9562,6329.1,19387.7,5206.4,48194.3,46019.7,9580.4,62,0,9,2
25.909284319,-80.1739219533,3022200022690,140000.0,9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,1,1
25.909284319,-80.1739219533,3022200022690,165000.0,9042,1427,16795,4589.1,17196.4,4796.3,48524.2,45363.9,11797.9,62,0,6,1
25.9092981109,-80.1830952235,622190140140,300000.0,12655,1633,9562,6987.4,20176.4,4501.0,48249.8,46412.8,8771.1,21,0,1,4
25.9093568695,-80.1816593407,622190140070,324000.0,8385,2313,9562,6658.0,19722.5,4953.8,48303.9,46261.6,9255.6,21,0,12,4
25.9101134278,-80.1845277435,622190140730,220000.0,7320,1602,1564,7544.6,20697.9,4223.5,48514.0,46865.0,8316.8,31,0,7,4
25.910185971,-80.1824877683,622190140510,300000.0,7800,2601,10606,7060.2,20034.0,4829.4,48580.2,46637.5,8984.2,21,0,8,4
25.9104492884,-80.1663312745,3022200023970,170700.0,9042,1542,1940,2347.8,14767.7,3052.2,49317.7,45048.6,13404.4,61,0,12,1
25.9105355693,-80.1737965065,3022200022050,231000.0,9042,1382,9562,4350.4,17219.0,4461.9,48980.1,45782.3,11766.6,21,0,2,2
25.9105560003,-80.1836724106,3022190270080,217000.0,10500,1544,803,7406.4,20412.0,4528.0,48719.1,46933.5,8559.6,31,0,5,4
25.9105810242,-80.1726272017,3022200022161,180000.0,9042,1782,3759,3992.4,16836.9,4161.2,49045.4,45680.0,12087.4,26,0,4,2
25.9107010124,-80.1698028342,3022200022310,220000.0,9042,1163,9562,3160.9,15916.1,3509.3,49223.8,45450.7,12647.7,16,0,10,2
25.9108132286,-80.1840412429,3022190390070,315000.0,7650,1811,21650,7518.0,20556.9,4478.2,48797.0,47054.4,8453.8,16,0,6,4
25.9109240694,-80.1761511512,622200010100,150000.0,8473,1302,27824,5021.9,17999.5,5005.3,49042.1,46173.3,11042.3,63,0,12,1
25.9110506909,-80.1820461351,3022190220060,165000.0,7500,2015,461,6857.1,19917.3,5092.3,48928.7,46894.1,9107.0,21,0,6,2
25.9112117097,-80.1696305155,3022200021720,243000.0,9042,1557,5133,3015.2,15855.9,3326.1,49414.4,45610.9,12528.2,62,0,5,4
25.9112435518,-80.1688170758,3022200021630,249000.0,9042,1362,18000,2780.5,15588.2,3158.3,49466.6,45546.5,12676.7,62,0,3,2
25.9113995307,-80.1650776278,3022200023870,227000.0,10850,1765,9562,1821.3,14356.4,2610.7,49731.4,45277.1,13400.9,63,0,12,2
25.9114580637,-80.1820673903,3022190220040,270000.0,7500,1692,426,6830.0,19920.4,5156.6,49073.8,47032.4,9102.4,21,0,11,4
25.9114604871,-80.1816726029,3022190300010,310000.0,10500,1979,9562,6679.5,19767.7,5249.9,49080.5,46980.6,9210.0,21,0,7,4
25.9118204644,-80.1751409529,3022200021110,170000.0,7918,1043,1870,4593.5,17644.0,4543.9,49417.9,46389.6,11148.8,62,0,12,2
25.9119311713,-80.1744840264,3022200021210,235000.0,9042,1540,4570,4385.7,17445.5,4340.9,49455.5,46335.0,11313.7,41,0,7,2
